599; -481; -756; -501; 2974; 16393
600; -477; -765; -505; 2981; 16376
605; -480; -766; -501; 2981; 16379
600; -486; -763; -515; 2981; 16358
600; -484; -759; -532; 2973; 16353
591; -482; -758; -502; 2964; 16343
601; -477; -755; -495; 2973; 16362
602; -471; -760; -508; 2975; 16334
588; -479; -757; -526; 2970; 16360
595; -474; -760; -522; 2972; 16352
596; -483; -750; -516; 2977; 16346
602; -480; -745; -520; 2966; 16367
603; -483; -740; -504; 2969; 16351
602; -475; -753; -518; 2963; 16337
595; -472; -753; -504; 2986; 16347
589; -480; -760; -523; 2973; 16347
592; -484; -753; -511; 2975; 16375
600; -482; -744; -514; 2972; 16348
597; -478; -750; -502; 2976; 16355
596; -478; -747; -506; 2976; 16358
596; -481; -758; -521; 2966; 16362
583; -471; -764; -525; 2969; 16362
594; -474; -754; -519; 2979; 16349
596; -484; -749; -530; 2973; 16341
596; -471; -743; -513; 2969; 16362
588; -471; -737; -515; 2978; 16356
599; -477; -745; -501; 2976; 16349
605; -471; -762; -502; 2978; 16390
591; -477; -753; -518; 2974; 16368
596; -489; -757; -530; 2970; 16362
597; -478; -744; -508; 2969; 16367
600; -476; -744; -505; 2972; 16350
591; -487; -749; -503; 2988; 16364
593; -477; -748; -518; 2959; 16358
592; -476; -756; -523; 2970; 16358
593; -473; -751; -508; 2967; 16353
602; -472; -755; -517; 2970; 16361
593; -475; -742; -518; 2967; 16361
589; -480; -752; -500; 2967; 16378
597; -484; -746; -490; 2974; 16384
602; -482; -748; -496; 2975; 16361
602; -487; -755; -502; 2972; 16376
604; -490; -755; -518; 2970; 16374
591; -486; -750; -518; 2971; 16354
597; -485; -741; -507; 2964; 16375
591; -483; -745; -502; 2978; 16376
590; -471; -756; -491; 2981; 16389
600; -473; -757; -519; 2965; 16364
598; -476; -750; -506; 2983; 16374
591; -483; -744; -506; 2976; 16372
582; -481; -749; -493; 2967; 16382
589; -475; -750; -500; 2974; 16379
597; -482; -757; -500; 2990; 16381
585; -484; -755; -488; 2978; 16391
598; -479; -755; -515; 2968; 16359
593; -483; -751; -523; 2995; 16393
580; -487; -749; -533; 2982; 16405
592; -488; -745; -533; 2992; 16403
590; -479; -747; -531; 2991; 16388
597; -484; -754; -529; 2979; 16403
591; -479; -757; -533; 2985; 16389
586; -469; -747; -543; 2986; 16401
589; -481; -747; -533; 2990; 16404
597; -475; -744; -529; 2981; 16399
592; -478; -744; -531; 2981; 16406
601; -475; -750; -539; 2980; 16400
597; -476; -752; -528; 2998; 16394
594; -480; -750; -529; 2992; 16396
589; -478; -755; -525; 2981; 16405
592; -477; -756; -528; 2975; 16400
589; -476; -758; -522; 2981; 16395
600; -470; -761; -533; 2979; 16384
603; -484; -749; -560; 2994; 16372
591; -480; -742; -559; 2976; 16399
600; -481; -752; -521; 2965; 16403
603; -482; -754; -523; 2995; 16382
587; -473; -755; -537; 2993; 16407
594; -479; -748; -538; 2995; 16402
598; -466; -752; -533; 2992; 16404
600; -467; -757; -536; 3000; 16406
591; -477; -754; -535; 2995; 16401
591; -477; -745; -544; 2968; 16407
584; -475; -744; -533; 2992; 16406
607; -487; -749; -533; 2980; 16400
596; -475; -750; -536; 2991; 16409
599; -481; -751; -533; 2980; 16405
599; -479; -760; -543; 2982; 16406
593; -477; -749; -540; 2978; 16411
588; -480; -751; -536; 2978; 16399
588; -476; -753; -524; 2990; 16405
594; -475; -749; -533; 2993; 16406
594; -481; -759; -525; 2991; 16404
583; -477; -743; -523; 2980; 16405
597; -474; -743; -537; 2981; 16403
594; -474; -757; -535; 2979; 16405
599; -487; -750; -536; 2997; 16407
598; -478; -752; -533; 2978; 16404
602; -466; -744; -528; 2988; 16404
598; -468; -756; -529; 2995; 16407
600; -480; -750; -536; 2982; 16407
592; -479; -754; -531; 2974; 16407
592; -470; -749; -526; 2984; 16422
592; -470; -749; -519; 2985; 16415
597; -483; -755; -553; 2984; 16399
584; -461; -751; -507; 2966; 16400
